sample,excitation_props,repetitions,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,on_intensity,on_polarization,off_intensity,off_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x000001AC05118F70>,<__main__.ExcitationProperties object at 0x000001AC1F6E1A50>,2,255515.5,270.5,432660.0,324.0,688175.5,594.5,0.5905686699111259,0.00018295139589696863,20230711_091925,[],0.01,"(1, 0, 0)",6.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001AC1F6E1240>
<__main__.SampleProperties object at 0x000001ACE9687340>,<__main__.ExcitationProperties object at 0x000001ACE96872B0>,2,254433.5,201.5,431688.0,438.0,686121.5,639.5,0.5893922404194107,0.00013123784145890882,20230711_092926,[],0.01,"(1, 0, 0)",6.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,260,82.76057040778558,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001ACE9687310>
<__main__.SampleProperties object at 0x000001AC1F6E1A50>,<__main__.ExcitationProperties object at 0x000001ACE9687820>,2,261698.5,67.5,417926.5,37.5,679625.0,105.0,0.6261830634102171,0.00010532506343130521,20230711_093903,[],0.01,"(1, 0, 0)",6.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,417,132.73522253864073,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001AC1F6E11E0>
<__main__.SampleProperties object at 0x000001AC051194E0>,<__main__.ExcitationProperties object at 0x000001ACE9686F80>,2,270785.0,617.0,398343.5,404.5,669128.5,212.5,0.6797799029144662,0.0022392005159589945,20230711_094816,[],0.01,"(1, 0, 0)",6.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,666,211.9943841984046,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001ACE9687700>
<__main__.SampleProperties object at 0x000001AC1F6E1EA0>,<__main__.ExcitationProperties object at 0x000001ACE96877C0>,2,300671.0,168.0,331278.5,448.5,631949.5,280.5,0.9076102993309676,0.0017358905550766135,20230711_095719,[],0.01,"(1, 0, 0)",6.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,2000,636.6197723675814,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001AC1F6E1240>
<__main__.SampleProperties object at 0x000001AC1F6E1C90>,<__main__.ExcitationProperties object at 0x000001ACE9687280>,2,164221.5,279.5,398973.5,857.5,563195.0,578.0,0.4116134513228116,0.0015852143927085616,20230711_100624,[],0.01,"(1, 0, 0)",1.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001AC1F6E1B40>
<__main__.SampleProperties object at 0x000001AC1F6E1EA0>,<__main__.ExcitationProperties object at 0x000001ACE9687250>,2,164072.0,310.0,397969.5,249.5,562041.5,60.5,0.41227345019337747,0.0010374217768528704,20230711_101449,[],0.01,"(1, 0, 0)",1.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,260,82.76057040778558,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001ACE96878E0>
<__main__.SampleProperties object at 0x000001AC1F6E11E0>,<__main__.ExcitationProperties object at 0x000001ACE9686E90>,2,164008.5,415.5,390154.5,326.5,554163.0,89.0,0.42036927055355744,0.0014167478956047808,20230711_102455,[],0.01,"(1, 0, 0)",1.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,417,132.73522253864073,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001ACE9686E30>
<__main__.SampleProperties object at 0x000001AC1F6E1240>,<__main__.ExcitationProperties object at 0x000001ACE9687220>,2,165152.0,124.0,375961.5,475.5,541113.5,351.5,0.4392801417418132,0.0008854037112795698,20230711_103452,[],0.01,"(1, 0, 0)",1.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,666,211.9943841984046,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001AC1F6E19F0>
<__main__.SampleProperties object at 0x000001AC1F6E1390>,<__main__.ExcitationProperties object at 0x000001ACE96871C0>,2,170598.5,54.5,319312.0,418.0,489910.5,363.5,0.5342701298126262,0.0008700735151253025,20230711_104418,[],0.01,"(1, 0, 0)",1.25,"(0, 1, 0)","rsEGFP2(singlet_lifetime_ns=3, exc_to_off_state_probability=0.02, exc_to_on_state_probability=0.98)",100000.0,2000,636.6197723675814,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000001AC0511B0D0>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000001ACE9687520>
